0, 0, 0, Z, 0, I, 1, 0, 0, 1.0
0, 0, 0, Z, 0, X, 0, 0, 1, 0.0
0, 0, 0, Z, 0, Y, 0, 0, 1, 0.0
0, 0, 0, Z, 0, Z, 1, 0, 0, 1.0
0, 0, 0, Z, 0, 0, 1, 0, 0, 1.0
0, 0, 0, Z, 0, 1, 0, 0, 0, 0.0
0, 0, 0, Z, 0, +, 1, 0, 1, 0.5
0, 0, 0, Z, 0, -, 1, 0, 1, 0.5
0, 0, 0, Z, 0, i, 1, 0, 1, 0.5
0, 0, 0, Z, 0, j, 1, 0, 1, 0.5
0, 0, 0, Z, 1, I, 0, 0, 0, 0.0
0, 0, 0, Z, 1, X, 0, 0, 1, 0.0
0, 0, 0, Z, 1, Y, 0, 0, 1, 0.0
0, 0, 0, Z, 1, Z, 0, 0, 0, 0.0
0, 0, 0, Z, 1, 0, 0, 0, 0, 0.0
0, 0, 0, Z, 1, 1, 0, 0, 0, 0.0
0, 0, 0, Z, 1, +, 0, 0, 1, 0.0
0, 0, 0, Z, 1, -, 0, 0, 1, 0.0
0, 0, 0, Z, 1, i, 0, 0, 1, 0.0
0, 0, 0, Z, 1, j, 0, 0, 1, 0.0
0, 0, 0, Z, +, I, 1, 0, 1, 0.5
0, 0, 0, Z, +, X, 0, 0, 2, 0.0
0, 0, 0, Z, +, Y, 0, 0, 2, 0.0
0, 0, 0, Z, +, Z, 1, 0, 1, 0.5
0, 0, 0, Z, +, 0, 1, 0, 1, 0.5
0, 0, 0, Z, +, 1, 0, 0, 1, 0.0
0, 0, 0, Z, +, +, 1, 0, 2, 0.25
0, 0, 0, Z, +, -, 1, 0, 2, 0.25
0, 0, 0, Z, +, i, 1, 0, 2, 0.25
0, 0, 0, Z, +, j, 1, 0, 2, 0.25
0, 0, 0, Z, -, I, 1, 0, 1, 0.5
0, 0, 0, Z, -, X, 0, 0, 2, 0.0
0, 0, 0, Z, -, Y, 0, 0, 2, 0.0
0, 0, 0, Z, -, Z, 1, 0, 1, 0.5
0, 0, 0, Z, -, 0, 1, 0, 1, 0.5
0, 0, 0, Z, -, 1, 0, 0, 1, 0.0
0, 0, 0, Z, -, +, 1, 0, 2, 0.25
0, 0, 0, Z, -, -, 1, 0, 2, 0.25
0, 0, 0, Z, -, i, 1, 0, 2, 0.25
0, 0, 0, Z, -, j, 1, 0, 2, 0.25
0, 0, 0, Z, i, I, 1, 0, 1, 0.5
0, 0, 0, Z, i, X, 0, 0, 2, 0.0
0, 0, 0, Z, i, Y, 0, 0, 2, 0.0
0, 0, 0, Z, i, Z, 1, 0, 1, 0.5
0, 0, 0, Z, i, 0, 1, 0, 1, 0.5
0, 0, 0, Z, i, 1, 0, 0, 1, 0.0
0, 0, 0, Z, i, +, 1, 0, 2, 0.25
0, 0, 0, Z, i, -, 1, 0, 2, 0.25
0, 0, 0, Z, i, i, 1, 0, 2, 0.25
0, 0, 0, Z, i, j, 1, 0, 2, 0.25
0, 0, 0, Z, j, I, 1, 0, 1, 0.5
0, 0, 0, Z, j, X, 0, 0, 2, 0.0
0, 0, 0, Z, j, Y, 0, 0, 2, 0.0
0, 0, 0, Z, j, Z, 1, 0, 1, 0.5
0, 0, 0, Z, j, 0, 1, 0, 1, 0.5
0, 0, 0, Z, j, 1, 0, 0, 1, 0.0
0, 0, 0, Z, j, +, 1, 0, 2, 0.25
0, 0, 0, Z, j, -, 1, 0, 2, 0.25
0, 0, 0, Z, j, i, 1, 0, 2, 0.25
0, 0, 0, Z, j, j, 1, 0, 2, 0.25
0, 0, 0, 0, I, I, 1, 0, 0, 1.0
0, 0, 0, 0, I, X, 0, 0, 1, 0.0
0, 0, 0, 0, I, Y, 0, 0, 1, 0.0
0, 0, 0, 0, I, Z, 1, 0, 0, 1.0
0, 0, 0, 0, I, 0, 1, 0, 0, 1.0
0, 0, 0, 0, I, 1, 0, 0, 0, 0.0
0, 0, 0, 0, I, +, 1, 0, 1, 0.5
0, 0, 0, 0, I, -, 1, 0, 1, 0.5
0, 0, 0, 0, I, i, 1, 0, 1, 0.5
0, 0, 0, 0, I, j, 1, 0, 1, 0.5
0, 0, 0, 0, X, I, 0, 0, 1, 0.0
0, 0, 0, 0, X, X, 0, 0, 2, 0.0
0, 0, 0, 0, X, Y, 0, 0, 2, 0.0
0, 0, 0, 0, X, Z, 0, 0, 1, 0.0
0, 0, 0, 0, X, 0, 0, 0, 1, 0.0
0, 0, 0, 0, X, 1, 0, 0, 1, 0.0
0, 0, 0, 0, X, +, 0, 0, 2, 0.0
0, 0, 0, 0, X, -, 0, 0, 2, 0.0
0, 0, 0, 0, X, i, 0, 0, 2, 0.0
0, 0, 0, 0, X, j, 0, 0, 2, 0.0
0, 0, 0, 0, Y, I, 0, 0, 1, 0.0
0, 0, 0, 0, Y, X, 0, 0, 2, 0.0
0, 0, 0, 0, Y, Y, 0, 0, 2, 0.0
0, 0, 0, 0, Y, Z, 0, 0, 1, 0.0
0, 0, 0, 0, Y, 0, 0, 0, 1, 0.0
0, 0, 0, 0, Y, 1, 0, 0, 1, 0.0
0, 0, 0, 0, Y, +, 0, 0, 2, 0.0
0, 0, 0, 0, Y, -, 0, 0, 2, 0.0
0, 0, 0, 0, Y, i, 0, 0, 2, 0.0
0, 0, 0, 0, Y, j, 0, 0, 2, 0.0
0, 0, 0, 0, Z, I, 1, 0, 0, 1.0
0, 0, 0, 0, Z, X, 0, 0, 1, 0.0
0, 0, 0, 0, Z, Y, 0, 0, 1, 0.0
0, 0, 0, 0, Z, Z, 1, 0, 0, 1.0
0, 0, 0, 0, Z, 0, 1, 0, 0, 1.0
0, 0, 0, 0, Z, 1, 0, 0, 0, 0.0
0, 0, 0, 0, Z, +, 1, 0, 1, 0.5
0, 0, 0, 0, Z, -, 1, 0, 1, 0.5
0, 0, 0, 0, Z, i, 1, 0, 1, 0.5
0, 0, 0, 0, Z, j, 1, 0, 1, 0.5
0, 0, 0, 0, 0, I, 1, 0, 0, 1.0
0, 0, 0, 0, 0, X, 0, 0, 1, 0.0
0, 0, 0, 0, 0, Y, 0, 0, 1, 0.0
0, 0, 0, 0, 0, Z, 1, 0, 0, 1.0
0, 0, 0, 0, 0, 0, 1, 0, 0, 1.0
0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0
0, 0, 0, 0, 0, +, 1, 0, 1, 0.5
0, 0, 0, 0, 0, -, 1, 0, 1, 0.5
0, 0, 0, 0, 0, i, 1, 0, 1, 0.5
0, 0, 0, 0, 0, j, 1, 0, 1, 0.5
0, 0, 0, 0, 1, I, 0, 0, 0, 0.0
0, 0, 0, 0, 1, X, 0, 0, 1, 0.0
0, 0, 0, 0, 1, Y, 0, 0, 1, 0.0
0, 0, 0, 0, 1, Z, 0, 0, 0, 0.0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0
0, 0, 0, 0, 1, 1, 0, 0, 0, 0.0
0, 0, 0, 0, 1, +, 0, 0, 1, 0.0
0, 0, 0, 0, 1, -, 0, 0, 1, 0.0
0, 0, 0, 0, 1, i, 0, 0, 1, 0.0
0, 0, 0, 0, 1, j, 0, 0, 1, 0.0
0, 0, 0, 0, +, I, 1, 0, 1, 0.5
0, 0, 0, 0, +, X, 0, 0, 2, 0.0
0, 0, 0, 0, +, Y, 0, 0, 2, 0.0
0, 0, 0, 0, +, Z, 1, 0, 1, 0.5
0, 0, 0, 0, +, 0, 1, 0, 1, 0.5
0, 0, 0, 0, +, 1, 0, 0, 1, 0.0
0, 0, 0, 0, +, +, 1, 0, 2, 0.25
0, 0, 0, 0, +, -, 1, 0, 2, 0.25
0, 0, 0, 0, +, i, 1, 0, 2, 0.25
0, 0, 0, 0, +, j, 1, 0, 2, 0.25
0, 0, 0, 0, -, I, 1, 0, 1, 0.5
0, 0, 0, 0, -, X, 0, 0, 2, 0.0
0, 0, 0, 0, -, Y, 0, 0, 2, 0.0
0, 0, 0, 0, -, Z, 1, 0, 1, 0.5
0, 0, 0, 0, -, 0, 1, 0, 1, 0.5
0, 0, 0, 0, -, 1, 0, 0, 1, 0.0
